title,imdbRating,imdbVotes,tomatometer
Snow White & the Huntsman,N/A,N/A,N/A
Spider-Man,7.4,"813,310",90%
Spider-Man: Far from Home,7.4,"486,617",90%
Spider-Man: Homecoming,7.4,"651,398",92%
Spider-Man: Into the Spider-Verse,8.4,"516,335",97%
Star Trek Beyond,7.0,"246,681",86%
Suicide Squad,5.9,"682,540",26%
Ted,6.9,"613,888",69%
The Adam Project,6.7,"195,395",67%
The Blind Side,7.6,"330,864",66%
The Bourne Identity,7.9,"545,961",84%
13: The Musical,5.2,657,50%
48 Christmas Wishes,3.9,"1,115",N/A
A Babysitter's Guide to Monster Hunting,5.4,"4,258",63%
A Christmas Prince,5.8,"19,708",73%
A Christmas Prince: The Royal Baby,5.4,"6,863",36%
A Christmas Prince: The Royal Wedding,5.3,"10,825",50%
A Cinderella Story,5.9,"88,147",12%
A Cinderella Story: Christmas Wish,5.3,"5,125",N/A
A Dozen Summers,6.3,105,N/A
A Family Reunion Christmas,5.8,233,N/A
A Go! Go! Cory Carson Christmas,6.4,51,N/A
A Go! Go! Cory Carson Halloween,6.2,54,N/A
A Go! Go! Cory Carson Summer Camp,N/A,N/A,N/A
A Second Chance: Rivals!,4.7,427,N/A
A StoryBots Christmas,6.1,162,N/A
A StoryBots Space Adventure,N/A,10,N/A
A Trash Truck Christmas,5.6,217,N/A
A Week Away,5.7,"4,787",54%
A Witches' Ball,5.1,395,N/A
Academia de gladiadores la película,N/A,N/A,N/A
Alalá,N/A,10,N/A
Alien Xmas,6.2,"1,301",100%
Angela's Christmas,7.0,"3,009",N/A
Angela's Christmas 2,N/A,N/A,N/A
Animal Crackers,7.4,"14,586",96%
Animals on the Loose: A You vs. Wild Movie,5.8,966,N/A
Annabell's Spectacularities,N/A,N/A,N/A
Arctic Dogs,4.8,"1,999",12%
Are We Done Yet?,4.2,"21,381",8%
Arlo the Alligator Boy,6.4,"1,134",85%
Arthur Christmas,7.1,"59,199",92%
Astérix: The Mansion of the Gods,N/A,N/A,N/A
Back of the Net,5.2,747,50%
Back to the Outback,6.5,"8,438",82%
Barbie & Chelsea: The Lost Birthday,6.2,49,N/A
Barbie Big City Big Dreams,5.7,349,N/A
Barbie Dolphin Magic,5.7,587,N/A
Barbie Epic Road Trip,N/A,N/A,N/A
Barbie Princess Adventure,5.5,500,N/A
Beat Bugs: All Together Now,N/A,N/A,N/A
Bee Movie,6.1,"162,672",49%
Benji,6.1,"4,885",86%
Beware of the Jönsson Gang,N/A,N/A,N/A
Bibi & Tina,4.7,740,N/A
Bibi & Tina II,N/A,N/A,N/A
"¡Ay, mi madre!",3.8,413,N/A
(T)Raumschiff Surprise Periode 1,5.4,"15,837",N/A
#realityhigh,5.1,"6,457",N/A
#Selfie,4.9,15,N/A
#Selfie 69,6.1,"1,769",N/A
100 Things,6.3,"5,948",N/A
1000 Miles from Christmas,5.8,"1,530",N/A
10000 Hours,7.0,53,N/A
15 August,5.8,280,N/A
17 Again,6.4,"201,578",56%
25 KM/H,N/A,N/A,N/A
3 Türken & ein Baby,5.4,"1,784",N/A
40 Years Young,4.4,535,N/A
4L,5.9,"3,314",57%
4N1K Düğün,4.1,88,N/A
5 Star Christmas,N/A,N/A,N/A
7 Days To Get Famous,N/A,N/A,N/A
7 Dwarves,4.1,"3,827",N/A
7 Dwarves 2: The Wood Is Not Enough,N/A,N/A,N/A
7 Emotions,N/A,N/A,N/A
A Bad Moms Christmas,5.6,"50,965",32%
A Boyfriend For My Wife,6.7,"3,563",N/A
A Breath of Fresh Air,N/A,N/A,N/A
A California Christmas,5.8,"9,952",60%
A California Christmas: City Lights,5.5,"2,495",N/A
